Number,Season,Episode,Title,Time,Day
1,1,1,The Gang Gets Racist,0:45,Thursday
2,1,2,Charlie Wants an Abortion,11:45,Tuesday
3,1,3,Underage Drinking: A National Concern,21:45,Friday
4,1,4,Charlie Has Cancer,12:40,Tuesday
5,1,5,Gun Fever,11:25,Friday
6,1,6,The Gang Finds a Dead Guy,10:25,Friday
7,1,7,Charlie Got Molested,11:15,Monday
8,2,1,Charlie Gets Crippled,22:15,Monday
9,2,2,The Gang Goes Jihad,15:30,Monday
10,2,3,Dennis and Dee Go on Welfare,16:30,Wednesday
11,2,4,Mac Bangs Dennis' Mom,16:30,Friday
12,2,5,Hundred Dollar Baby,23:30,Tuesday
13,2,6,The Gang Gives Back,11:15,Monday
14,2,7,The Gang Exploits a Miracle,11:00,Tuesday
15,2,8,The Gang Runs for Office,10:15,Wednesday
16,2,9,Charlie Goes America All Over Everybody's Ass,2:30,Saturday
17,2,10,Dennis and Dee Get a New Dad,8:00,Monday
18,3,1,The Gang Finds a Dumpster Baby,16:30,Wednesday
19,3,2,The Gang Gets Invincible,10:30,Wednesday
20,3,3,Dennis and Dee's Mom Is Dead,12:00,Monday
21,3,4,The Gang Gets Held Hostage,13:30,Wednesday
22,3,5,The Aluminum Monster vs. Fatty Magoo,11:30,Tuesday
23,3,6,The Gang Solves the North Korea Situation,16:00,Monday
24,3,7,The Gang Sells Out,14:30,Tuesday
25,3,8,Frank Sets Sweet Dee on Fire,18:00,Wednesday
26,3,9,Sweet Dee's Dating a Retarded Person,22:30,Wednesday
27,3,10,Mac is a Serial Killer,10:00,Thursday
28,3,11,Dennis Looks Like a Registered Sex Offender,15:30,Tuesday
29,3,12,The Gang Gets Whacked (Part 1),14:30,Monday
30,3,13,The Gang Gets Whacked (Part 2),14:30,Monday
31,3,14,Bums: Making a Mess All Over the City,10:15,Monday
32,3,15,The Gang Dances Their Asses Off,13:15,Saturday
33,4,1,Mac and Dennis: Manhunters,13:30,Wednesday
34,4,2,The Gang Solves the Gas Crisis,10:30,Monday
35,4,3,America's Next Top Paddy's Billboard Model Contest,9:30,Monday
36,4,4,Mac's Banging the Waitress,14:30,Wednesday
37,4,5,Mac and Charlie Die (Part 1),10:00,Monday
38,4,6,Mac and Charlie Die (Part 2),10:00,Monday
39,4,7,Who Pooped the Bed?,13:30,Wednesday
40,4,8,Paddy's Pub: The Worst Bar in Philadelphia,16:42,Tuesday
41,4,9,Dennis Reynolds: An Erotic Life,23:00,Monday
42,4,10,Sweet Dee Has a Heart Attack,19:00,Monday
43,4,11,The Gang Cracks the Liberty Bell,14:30,Thursday
44,4,12,The Gang Gets Extreme: Home Makeover Edition,15:27,Friday
45,4,13,The Nightman Cometh,19:15,Friday
46,5,1,The Gang Exploits the Mortgage Crisis,11:30,Tuesday
47,5,2,The Gang Hits the Road,11:00,Tuesday
48,5,3,The Great Recession,11:00,Tuesday
49,5,4,The Gang Gives Frank an Intervention,11:00,Wednesday
50,5,5,The Waitress is Getting Married,12:30,Saturday
51,5,6,The World Series Defense,11:00,Tuesday
52,5,7,The Gang Wrestles for the Troops,12:30,Saturday
53,5,8,Paddy's Pub: Home of the Original Kitten Mittens,12:30,Wednesday
54,5,9,Mac and Dennis Break Up,12:00,Friday
55,5,10,The D.E.N.N.I.S. System,13:30,Saturday
56,5,11,Mac and Charlie Write a Movie,13:30,Thursday
57,5,12,The Gang Reignites the Rivalry,20:17,Tuesday
58/59,5,13/14,A Very Sunny Christmas,9:00,Thursday
60,6,1,Mac Fights Gay Marriage,11:00,Thursday
61,6,2,Dennis Gets Divorced,7:30,Monday
62,6,3,The Gang Buys a Boat,10:00,Saturday
63,6,4,Mac's Big Break,9:30,Thursday
64,6,5,Mac and Charlie: White Trash,12:30,Saturday
65,6,6,Mac's Mom Burns Her House Down,12:00,Thursday
66,6,7,Who Got Dee Pregnant?,17:30,Saturday
67,6,8,The Gang Gets a New Member,11:30,Monday
68,6,9,Dee Reynolds: Shaping America's Youth,8:30,Monday
69,6,10,Charlie Kelly: King of the Rats,10:00,Tuesday
70,6,11,The Gang Gets Stranded in the Woods,15:30,Saturday
71,6,12,Dee Gives Birth,9:30,Friday
72,7,1,Frank's Pretty Woman,11:30,Monday
73,7,2,The Gang Goes to the Jersey Shore,10:30,Friday
74,7,3,Frank Reynolds' Little Beauties,12:00,Saturday
75,7,4,Sweet Dee Gets Audited,11:15,Thursday
76,7,5,Frank's Brother,15:50,Wednesday
77,7,6,The Storm of the Century,11:40,Friday
78,7,7,Chardee MacDennis: The Game of Games,12:45,Monday
79,7,8,The ANTI-Social Network,21:30,Saturday
80,7,9,The Gang Gets Trapped,13:45,Tuesday
81,7,10,How Mac Got Fat,12:20,Sunday
82,7,11,Thunder Gun Express,14:15,Wednesday
83,7,12,The High School Reunion,19:10,Friday
84,7,13,The Hight School Reunion Part 2: The Gang's Revenge,19:10,Friday
85,8,1,Pop-Pop: The Final Solution,10:45,Tuesday
86,8,2,The Gang Recycles Their Trash,11:40,Monday
87,8,3,The Maureen Ponderosa Wedding Massacre,22:00,Friday
88,8,4,Charlie and Dee Find Love,11:30,Friday
89,8,5,The Gang Gets Analyzed,11:00,Thursday
90,8,6,Charlie's Mom Has Cancer,11:20,Saturday
91,8,7,Frank's Back in Business,11:15,Friday
92,8,8,Charlie Rules the World,10:30,Tuesday
93,8,9,The Gang Dines Out,20:17,Saturday
94,8,10,Reynolds vs. Reynolds: The Cereal Defense,10:19,Friday
95,9,1,The Gang Broke Dee,12:15,Wednesday
96,9,2,Gun Fever Too: Still Hot,9:35,Tuesday
97,9,3,The Gang Tries Desperately to Win an Award,14:30,Friday
98,9,4,Mac and Dennis Buy a Timeshare,11:45,Thursday
99,9,5,Mac Day,23:55,Saturday
100,9,6,The Gang Saves the Day,12:15,Wednesday
101,9,7,The Gang Gets Quarantined,11:30,Monday
102,9,8,Flowers for Charlie,9:14,Wednesday
103,9,9,The Gang Makes Lethal Weapons 6,,
104,9,10,The Gang Squashes Their Beefs,13:00,Wednesday
105,10,1,The Gang Beats Boggs,9:30,Thursday
106,10,2,The Gang Group Dates,11:00,Tuesday
107,10,3,Psycho Pete Returns,15:00,Monday
108,10,4,Charlie Work,9:00,Monday
109,10,5,The Gang Spies Like U.S.,10:00,Wednesday
110,10,6,The Gang Misses the Boat,15:30,Friday
111,10,7,Mac Kills His Dad,17:05,Monday
112,10,8,The Gang Goes on Family Night,13:45,Tuesday
113,10,9,Frank Retires,10:30,Wednesday
114,10,10,Ass Kicker's United: Mac and Charlie Join a Cult,10:00,Wednesday
115,11,1,Chardee MacDennis 2: Electric Boogaloo,10:20,Monday
116,11,2,Frank Falls Out the Window,12:10,Wednesday
117,11,3,The Gang Hits the Slopes,9:30,Friday
118,11,4,Dee Made a Smut Film,15:12,Tuesday
119,11,5,Mac & Dennis Move to the Suburbs,10:30,Thursday
120,11,6,Being Frank,11:00,Friday
121,11,7,MacPoyle vs. Ponderosa: The Trial of the Century,7:54,Friday
122,11,8,Charlie Catches a Leprechaun,10:00,Wednesday
123,11,9,The Gang Goes to Hell,,
124,11,10,The Gang Goes to Hell: Part 2,,
125,12,1,The Gang Turns Black,21:15,Friday
126,12,2,The Gang Goes to a Water Park,9:58,Saturday
127,12,3,Old Lady House: A Situation Comedy,,
128,12,4,Wolf Cola: A Public Relations Nightmare,,
129,12,5,Making Dennis Reynolds a Murderer,,
130,12,6,Hero or Hate Crime?,,
131,12,7,PTSDee,,
132,12,8,The Gang Tends Bar,,
133,12,9,,,
134,12,10,,,