Number,Season,Episode,Title,Time,Day,Link
1,1,1,The Gang Gets Racist,0:45,Thursday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Racist
2,1,2,Charlie Wants an Abortion,11:45,Tuesday,http://itsalwayssunny.wikia.com/wiki/Charlie_Wants_an_Abortion
3,1,3,Underage Drinking: A National Concern,21:45,Friday,http://itsalwayssunny.wikia.com/wiki/Underage_Drinking:_A_National_Concern
4,1,4,Charlie Has Cancer,12:40,Tuesday,http://itsalwayssunny.wikia.com/wiki/Charlie_Has_Cancer
5,1,5,Gun Fever,11:25,Friday,http://itsalwayssunny.wikia.com/wiki/Gun_Fever
6,1,6,The Gang Finds a Dead Guy,10:25,Friday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Finds_a_Dead_Guy
7,1,7,Charlie Got Molested,11:15,Monday,http://itsalwayssunny.wikia.com/wiki/Charlie_Got_Molested
8,2,1,Charlie Gets Crippled,22:15,Monday,http://itsalwayssunny.wikia.com/wiki/Charlie_Gets_Crippled
9,2,2,The Gang Goes Jihad,15:30,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Goes_Jihad
10,2,3,Dennis and Dee Go on Welfare,16:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/Dennis_and_Dee_Go_on_Welfare
11,2,4,Mac Bangs Dennis' Mom,16:30,Friday,http://itsalwayssunny.wikia.com/wiki/Mac_Bangs_Dennis%27_Mom
12,2,5,Hundred Dollar Baby,23:30,Tuesday,http://itsalwayssunny.wikia.com/wiki/Hundred_Dollar_Baby
13,2,6,The Gang Gives Back,11:15,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gives_Back
14,2,7,The Gang Exploits a Miracle,11:00,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Exploits_A_Miracle
15,2,8,The Gang Runs for Office,10:15,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Runs_for_Office
16,2,9,Charlie Goes America All Over Everybody's Ass,2:30,Saturday,http://itsalwayssunny.wikia.com/wiki/Charlie_Goes_America_All_Over_Everybody%27s_Ass
17,2,10,Dennis and Dee Get a New Dad,8:00,Monday,http://itsalwayssunny.wikia.com/wiki/Dennis_and_Dee_Get_a_New_Dad
18,3,1,The Gang Finds a Dumpster Baby,16:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Finds_a_Dumpster_Baby
19,3,2,The Gang Gets Invincible,10:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Invincible
20,3,3,Dennis and Dee's Mom Is Dead,12:00,Monday,http://itsalwayssunny.wikia.com/wiki/Dennis_and_Dee%27s_Mom_Is_Dead
21,3,4,The Gang Gets Held Hostage,13:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Held_Hostage
22,3,5,The Aluminum Monster vs. Fatty Magoo,11:30,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Aluminum_Monster_vs._Fatty_Magoo
23,3,6,The Gang Solves the North Korea Situation,16:00,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Solves_the_North_Korea_Situation
24,3,7,The Gang Sells Out,14:30,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Sells_Out
25,3,8,Frank Sets Sweet Dee on Fire,18:00,Wednesday,http://itsalwayssunny.wikia.com/wiki/Frank_Sets_Sweet_Dee_on_Fire
26,3,9,Sweet Dee's Dating a Retarded Person,22:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/Sweet_Dee%27s_Dating_a_Retarded_Person
27,3,10,Mac is a Serial Killer,10:00,Thursday,http://itsalwayssunny.wikia.com/wiki/Mac_Is_a_Serial_Killer
28,3,11,Dennis Looks Like a Registered Sex Offender,15:30,Tuesday,http://itsalwayssunny.wikia.com/wiki/Dennis_Looks_Like_a_Registered_Sex_Offender
29,3,12,The Gang Gets Whacked,14:30,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Whacked_(Part_1)
30,3,13,The Gang Gets Whacked Part 2,,,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Whacked_(Part_2)
31,3,14,Bums: Making a Mess All Over the City,10:15,Monday,http://itsalwayssunny.wikia.com/wiki/Bums:_Making_a_Mess_All_Over_the_City
32,3,15,The Gang Dances Their Asses Off,13:15,Saturday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Dances_Their_Asses_Off
33,4,1,Mac and Dennis: Manhunters,13:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/Mac_and_Dennis:_Manhunters
34,4,2,The Gang Solves the Gas Crisis,10:30,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Solves_the_Gas_Crisis
35,4,3,America's Next Top Paddy's Billboard Model Contest,9:30,Monday,http://itsalwayssunny.wikia.com/wiki/America%27s_Next_Top_Paddy%27s_Billboard_Model_Contest
36,4,4,Mac's Banging the Waitress,14:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/Mac%27s_Banging_the_Waitress
37,4,5,Mac and Charlie Die,10:00,Monday,http://itsalwayssunny.wikia.com/wiki/Mac_and_Charlie_Die_(Part_1)
38,4,6,Mac and Charlie Die Part 2,,,http://itsalwayssunny.wikia.com/wiki/Mac_and_Charlie_Die_(Part_2)
39,4,7,Who Pooped the Bed?,13:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/Who_Pooped_the_Bed%3F
40,4,8,Paddy's Pub: The Worst Bar in Philadelphia,16:42,Tuesday,http://itsalwayssunny.wikia.com/wiki/Paddy%27s_Pub:_The_Worst_Bar_in_Philadelphia
41,4,9,Dennis Reynolds: An Erotic Life,23:00,Monday,http://itsalwayssunny.wikia.com/wiki/Dennis_Reynolds:_An_Erotic_Life
42,4,10,Sweet Dee Has a Heart Attack,19:00,Monday,http://itsalwayssunny.wikia.com/wiki/Sweet_Dee_Has_a_Heart_Attack
43,4,11,The Gang Cracks the Liberty Bell,14:30,Thursday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Cracks_the_Liberty_Bell
44,4,12,The Gang Gets Extreme: Home Makeover Edition,15:27,Friday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Extreme:_Home_Makeover_Edition
45,4,13,The Nightman Cometh,19:15,Friday,http://itsalwayssunny.wikia.com/wiki/The_Nightman_Cometh
46,5,1,The Gang Exploits the Mortgage Crisis,11:30,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Exploits_the_Mortgage_Crisis
47,5,2,The Gang Hits the Road,11:00,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Hits_the_Road
48,5,3,The Great Recession,11:00,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Great_Recession
49,5,4,The Gang Gives Frank an Intervention,11:00,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gives_Frank_an_Intervention
50,5,5,The Waitress is Getting Married,12:30,Saturday,http://itsalwayssunny.wikia.com/wiki/The_Waitress_Is_Getting_Married
51,5,6,The World Series Defense,11:00,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_World_Series_Defense
52,5,7,The Gang Wrestles for the Troops,12:30,Saturday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Wrestles_for_the_Troops
53,5,8,Paddy's Pub: Home of the Original Kitten Mittens,12:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/Paddy%27s_Pub:_Home_of_the_Original_Kitten_Mittens
54,5,9,Mac and Dennis Break Up,12:00,Friday,http://itsalwayssunny.wikia.com/wiki/Mac_and_Dennis_Break_Up
55,5,10,The D.E.N.N.I.S. System,13:30,Saturday,http://itsalwayssunny.wikia.com/wiki/The_D.E.N.N.I.S._System
56,5,11,Mac and Charlie Write a Movie,13:30,Thursday,http://itsalwayssunny.wikia.com/wiki/Mac_and_Charlie_Write_a_Movie
57,5,12,The Gang Reignites the Rivalry,20:17,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Reignites_the_Rivalry
58/59,5,13,A Very Sunny Christmas,9:00,Thursday,http://itsalwayssunny.wikia.com/wiki/A_Very_Sunny_Christmas
60,6,1,Mac Fights Gay Marriage,11:00,Thursday,http://itsalwayssunny.wikia.com/wiki/Mac_Fights_Gay_Marriage
61,6,2,Dennis Gets Divorced,7:30,Monday,http://itsalwayssunny.wikia.com/wiki/Dennis_Gets_Divorced
62,6,3,The Gang Buys a Boat,10:00,Saturday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Buys_a_Boat
63,6,4,Mac's Big Break,9:30,Thursday,http://itsalwayssunny.wikia.com/wiki/Mac%27s_Big_Break
64,6,5,Mac and Charlie: White Trash,12:30,Saturday,http://itsalwayssunny.wikia.com/wiki/Mac_and_Charlie:_White_Trash
65,6,6,Mac's Mom Burns Her House Down,12:00,Thursday,http://itsalwayssunny.wikia.com/wiki/Mac%27s_Mom_Burns_Her_House_Down
66,6,7,Who Got Dee Pregnant?,17:30,Saturday,http://itsalwayssunny.wikia.com/wiki/Who_Got_Dee_Pregnant%3F
67,6,8,The Gang Gets a New Member,11:30,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_a_New_Member
68,6,9,Dee Reynolds: Shaping America's Youth,8:30,Monday,http://itsalwayssunny.wikia.com/wiki/Dee_Reynolds:_Shaping_America%27s_Youth
69,6,10,Charlie Kelly: King of the Rats,10:00,Tuesday,http://itsalwayssunny.wikia.com/wiki/Charlie_Kelly:_King_of_the_Rats
70,6,11,The Gang Gets Stranded in the Woods,15:30,Saturday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Stranded_in_the_Woods
71,6,12,Dee Gives Birth,9:30,Friday,http://itsalwayssunny.wikia.com/wiki/Dee_Gives_Birth
72,7,1,Frank's Pretty Woman,11:30,Monday,http://itsalwayssunny.wikia.com/wiki/Frank%27s_Pretty_Woman
73,7,2,The Gang Goes to the Jersey Shore,10:30,Friday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Goes_to_the_Jersey_Shore
74,7,3,Frank Reynolds' Little Beauties,12:00,Saturday,http://itsalwayssunny.wikia.com/wiki/Frank_Reynolds%27_Little_Beauties
75,7,4,Sweet Dee Gets Audited,11:15,Thursday,http://itsalwayssunny.wikia.com/wiki/Sweet_Dee_Gets_Audited
76,7,5,Frank's Brother,15:50,Wednesday,http://itsalwayssunny.wikia.com/wiki/Frank%27s_Brother
77,7,6,The Storm of the Century,11:40,Friday,http://itsalwayssunny.wikia.com/wiki/The_Storm_of_the_Century
78,7,7,Chardee MacDennis: The Game of Games,12:45,Monday,http://itsalwayssunny.wikia.com/wiki/Chardee_MacDennis:_The_Game_of_Games
79,7,8,The ANTI-Social Network,21:30,Saturday,http://itsalwayssunny.wikia.com/wiki/The_ANTI-Social_Network
80,7,9,The Gang Gets Trapped,13:45,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Trapped
81,7,10,How Mac Got Fat,12:20,Sunday,http://itsalwayssunny.wikia.com/wiki/How_Mac_Got_Fat
82,7,11,Thunder Gun Express,14:15,Wednesday,http://itsalwayssunny.wikia.com/wiki/Thunder_Gun_Express
83,7,12,The High School Reunion,19:10,Friday,http://itsalwayssunny.wikia.com/wiki/The_High_School_Reunion
84,7,13,The Hight School Reunion Part 2: The Gang's Revenge,,,"http://itsalwayssunny.wikia.com/wiki/The_High_School_Reunion,_Part_2:_The_Gang%27s_Revenge"
85,8,1,Pop-Pop: The Final Solution,10:45,Tuesday,http://itsalwayssunny.wikia.com/wiki/Pop-Pop:_The_Final_Solution
86,8,2,The Gang Recycles Their Trash,11:40,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Recycles_Their_Trash
87,8,3,The Maureen Ponderosa Wedding Massacre,22:00,Friday,http://itsalwayssunny.wikia.com/wiki/The_Maureen_Ponderosa_Wedding_Massacre
88,8,4,Charlie and Dee Find Love,11:30,Friday,http://itsalwayssunny.wikia.com/wiki/Charlie_and_Dee_Find_Love
89,8,5,The Gang Gets Analyzed,11:00,Thursday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Analyzed
90,8,6,Charlie's Mom Has Cancer,11:20,Saturday,http://itsalwayssunny.wikia.com/wiki/Charlie%27s_Mom_Has_Cancer
91,8,7,Frank's Back in Business,11:15,Friday,http://itsalwayssunny.wikia.com/wiki/Frank%27s_Back_in_Business
92,8,8,Charlie Rules the World,10:30,Tuesday,http://itsalwayssunny.wikia.com/wiki/Charlie_Rules_the_World
93,8,9,The Gang Dines Out,20:17,Saturday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Dines_Out
94,8,10,Reynolds vs. Reynolds: The Cereal Defense,10:19,Friday,http://itsalwayssunny.wikia.com/wiki/Reynolds_vs._Reynolds:_The_Cereal_Defense
95,9,1,The Gang Broke Dee,12:15,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Broke_Dee
96,9,2,Gun Fever Too: Still Hot,9:35,Tuesday,http://itsalwayssunny.wikia.com/wiki/Gun_Fever_Too:_Still_Hot
97,9,3,The Gang Tries Desperately to Win an Award,14:30,Friday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Tries_Desperately_to_Win_an_Award
98,9,4,Mac and Dennis Buy a Timeshare,11:45,Thursday,http://itsalwayssunny.wikia.com/wiki/Mac_and_Dennis_Buy_a_Timeshare
99,9,5,Mac Day,23:55,Saturday,http://itsalwayssunny.wikia.com/wiki/Mac_Day
100,9,6,The Gang Saves the Day,12:15,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Saves_the_Day
101,9,7,The Gang Gets Quarantined,11:30,Monday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Gets_Quarantined
102,9,8,Flowers for Charlie,9:14,Wednesday,http://itsalwayssunny.wikia.com/wiki/Flowers_for_Charlie
103,9,9,The Gang Makes Lethal Weapons 6,?,,http://itsalwayssunny.wikia.com/wiki/The_Gang_Makes_Lethal_Weapon_6
104,9,10,The Gang Squashes Their Beefs,13:00,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Squashes_Their_Beefs
105,10,1,The Gang Beats Boggs,9:30,Thursday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Beats_Boggs
106,10,2,The Gang Group Dates,11:00,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Group_Dates
107,10,3,Psycho Pete Returns,15:00,Monday,http://itsalwayssunny.wikia.com/wiki/Psycho_Pete_Returns
108,10,4,Charlie Work,9:00,Monday,http://itsalwayssunny.wikia.com/wiki/Charlie_Work_(episode)
109,10,5,The Gang Spies Like U.S.,10:00,Wednesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Spies_Like_U.S.
110,10,6,The Gang Misses the Boat,15:30,Friday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Misses_the_Boat
111,10,7,Mac Kills His Dad,17:05,Monday,http://itsalwayssunny.wikia.com/wiki/Mac_Kills_His_Dad
112,10,8,The Gang Goes on Family Night,13:45,Tuesday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Goes_on_Family_Fight
113,10,9,Frank Retires,10:30,Wednesday,http://itsalwayssunny.wikia.com/wiki/Frank_Retires
114,10,10,Ass Kicker's United: Mac and Charlie Join a Cult,10:00,Wednesday,http://itsalwayssunny.wikia.com/wiki/Ass_Kickers_United:_Mac_and_Charlie_Join_a_Cult
115,11,1,Chardee MacDennis 2: Electric Boogaloo,10:20,Monday,http://itsalwayssunny.wikia.com/wiki/Chardee_MacDennis_2:_Electric_Boogaloo
116,11,2,Frank Falls Out the Window,12:10,Wednesday,http://itsalwayssunny.wikia.com/wiki/Frank_Falls_Out_the_Window
117,11,3,The Gang Hits the Slopes,9:30,Friday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Hits_the_Slopes
118,11,4,Dee Made a Smut Film,15:12,Tuesday,http://itsalwayssunny.wikia.com/wiki/Dee_Made_a_Smut_Film
119,11,5,Mac & Dennis Move to the Suburbs,10:30,Thursday,http://itsalwayssunny.wikia.com/wiki/Mac_%26_Dennis_Move_to_the_Suburbs
120,11,6,Being Frank,11:00,Friday,http://itsalwayssunny.wikia.com/wiki/Being_Frank
121,11,7,MacPoyle vs. Ponderosa: The Trial of the Century,7:54,Friday,http://itsalwayssunny.wikia.com/wiki/McPoyle_vs._Ponderosa:_The_Trial_of_the_Century
122,11,8,Charlie Catches a Leprechaun,10:00,Wednesday,http://itsalwayssunny.wikia.com/wiki/Charlie_Catches_a_Leprechaun
123,11,9,The Gang Goes to Hell,?,,http://itsalwayssunny.wikia.com/wiki/The_Gang_Goes_to_Hell
124,11,10,The Gang Goes to Hell: Part 2,,,http://itsalwayssunny.wikia.com/wiki/The_Gang_Goes_to_Hell:_Part_Two
125,12,1,The Gang Turns Black,21:15,Friday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Turns_Black
126,12,2,The Gang Goes to a Water Park,9:58,Saturday,http://itsalwayssunny.wikia.com/wiki/The_Gang_Goes_to_a_Water_Park
127,12,3,Old Lady House: A Situation Comedy,12:00,Tuesday,http://itsalwayssunny.wikia.com/wiki/Old_Lady_House:_A_Situation_Comedy
128,12,4,Wolf Cola: A Public Relations Nightmare,10:05,Monday,http://itsalwayssunny.wikia.com/wiki/Wolf_Cola:_A_Public_Relations_Nightmare
129,12,5,Making Dennis Reynolds a Murderer,,,http://itsalwayssunny.wikia.com/wiki/Making_Dennis_Reynolds_a_Murderer
130,12,6,Hero or Hate Crime?,,,http://itsalwayssunny.wikia.com/wiki/Hero_or_Hate_Crime%3F
131,12,7,PTSDee,,,http://itsalwayssunny.wikia.com/wiki/PTSDee
132,12,8,The Gang Tends Bar,,,http://itsalwayssunny.wikia.com/wiki/The_Gang_Tends_Bar
133,12,9,A Cricket's Life,,,http://itsalwayssunny.wikia.com/wiki/A_Cricket%27s_Life
134,12,10,Dennis' Double Life,,,http://itsalwayssunny.wikia.com/wiki/Dennis%27_Double_Life
